publisher_name,journal_name,date_stamp,is_hybrid,issn,apc
BioMed Central,Acta Neuropathologica Communications,2016-08-11,False,2051-5960,1400
BioMed Central,Alzheimer's Research & Therapy,2016-08-11,False,1758-9193,2175
BioMed Central,Annals of Clinical Microbiology and Antimicrobials,2016-08-11,False,1476-0711,2145
BioMed Central,Antimicrobial Resistance & Infection Control,2016-08-11,False,2047-2994,2145
BioMed Central,Behavioral and Brain Functions,2016-08-11,False,1744-9081,2145
BioMed Central,Biological Procedures Online,2016-08-11,False,1480-9222,2450
BioMed Central,Biology of Sex Differences,2016-08-11,False,2042-6410,2450
BioMed Central,Biomarker Research,2016-08-11,False,2050-7771,2255
BioMed Central,BMC Cancer,2016-08-11,False,1471-2407,2145
BioMed Central,BMC Immunology,2016-08-11,False,1471-2172,2145
BioMed Central,BMC Medical Genetics,2016-08-11,False,1471-2350,2145
BioMed Central,BMC Medical Genomics,2016-08-11,False,1755-8794,2145
BioMed Central,BMC Neuroscience,2016-08-11,False,1471-2202,2145
BioMed Central,BMC Pharmacology and Toxicology,2016-08-11,False,2050-6511,2145
BioMed Central,BMC Physiology,2016-08-11,False,1472-6793,2145
BioMed Central,BMC Research Notes,2016-08-11,False,1756-0500,1290
BioMed Central,Breast Cancer Research,2016-08-11,False,1465-542X,2910
BioMed Central,Cancer & Metabolism,2016-08-11,False,2049-3002,2450
BioMed Central,Cancer Cell International,2016-08-11,False,1475-2867,2300
BioMed Central,Chinese Journal of Cancer,2016-08-11,False,1944-446X,0
BioMed Central,Clinical Epigenetics,2016-08-11,False,1868-7083,2450
BioMed Central,Clinical Sarcoma Research,2016-08-11,False,2045-3329,2145
BioMed Central,EPMA Journal,2016-08-11,False,1878-5085,2240
BioMed Central,Experimental & Translational Stroke Medicine,2016-08-11,False,2040-7378,2145
BioMed Central,Extreme Physiology & Medicine,2016-08-11,False,2046-7648,2145
BioMed Central,Flavour,2016-08-11,False,2044-7248,2450
BioMed Central,Fluids and Barriers of the CNS,2016-08-11,False,2045-8118,2145
BioMed Central,Genes & Nutrition,2016-08-11,False,1865-3499,2145
BioMed Central,Genes and Environment,2016-08-11,False,1880-7062,0
BioMed Central,Genome Medicine,2016-08-11,False,1756-994X,2785
BioMed Central,Hereditary Cancer in Clinical Practice,2016-08-11,False,1897-4287,2145
BioMed Central,Human Genomics,2016-08-11,False,1479-7364,2450
BioMed Central,Immunity & Ageing,2016-08-11,False,1742-4933,2145
BioMed Central,Infectious Agents and Cancer,2016-08-11,False,1750-9378,2145
BioMed Central,Journal of Biomedical Science,2016-08-11,False,1423-0127,0
BioMed Central,Journal of Inflammation,2016-08-11,False,1476-9255,2300
BioMed Central,Journal of Negative Results in BioMedicine,2016-08-11,False,1477-5751,2145
BioMed Central,Journal of Neurodevelopmental Disorders,2016-08-11,False,1866-1955,2450
BioMed Central,Journal of NeuroEngineering and Rehabilitation,2016-08-11,False,1743-0003,2240
BioMed Central,Journal of Neuroinflammation,2016-08-11,False,1742-2094,2450
BioMed Central,Journal of Pharmaceutical Health Care and Sciences,2016-08-11,False,2055-0294,2220
BioMed Central,Journal of Physiological Anthropology,2016-08-11,False,1880-6805,1565
BioMed Central,Journal of Translational Medicine,2016-08-11,False,1479-5876,2145
BioMed Central,Journal of Venomous Animals and Toxins including Tropical Diseases,2016-08-11,False,1678-9199,2145
BioMed Central,Malaria Journal,2016-08-11,False,1475-2875,2240
BioMed Central,Microbiome,2016-08-11,False,2049-2618,2450
BioMed Central,Mobile DNA,2016-08-11,False,1759-8753,2145
BioMed Central,Molecular Brain,2016-08-11,False,1756-6606,1980
