Publisher	longname	eISSN	pISSN	AuthorPrice	Website	year_price	free
Springer	3 Biotech	2190-5738	NULL	0	http://www.springer.com/13205	2012	1
Hindawi	Abstract and Applied Analysis	1687-0409	1085-3375	1000	http://www.hindawi.com/journals/aaa/apc/	2012	0
Institute of Oceanography and Fisheries Split	Acta Adriatica	1846-0453	Jan-13	0	http://jadran.izor.hr/acta/eng/	2012	1
Acta Biochimica Polonica	Acta Biochimica Polonica	0001-527X	0001-527X	0	http://www.actabp.pl/	2012	0
Universidad de Chile	Acta Bioethica	1726-569X	0717-5906	0	http://www.scielo.cl/scielo.php?script=sci_serial&pid=1726-569X&lng=en&nrm=iso	2012	1
Polish Academy of Sciences	ACTA BIOLOGICA CRACOVIENSIA	1898-0295	Jan-96	0	http://www.ib.uj.edu.pl/abc/index.php?d=	2012	1
Botanical Society of Brasil	Acta Botanica Brasilica	1677-941X	0102-3306	0	http://www.scielo.br/revistas/abb/iaboutj.htm	2012	1
Chinese Chemical Society	Acta Chimica Sinica	1614-7065	0567-7351	0	http://www.oaj.cas.cn/en/journal_home.aspx?my_jid=0412-1961&journal_name=Acta%20Metallurgica%20Sinica	2012	1
Sestre milosrdnice University Hospital 	Acta Clinica Croatica	1333-9451	0353-9466	0	http://www.acta-clinica.com/	2012	1
Wiley	Acta Crystallographica Section E	1600-5368	NULL	150	http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291600-5368	2012	0
Wiley	ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE	1600-5368	1600-5368	150	http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291600-5368	2012	0
Slovenian Academy of Sciences and Arts	Acta Geographica Slovenica	1581-8314	1581-6613	0	http://giam.zrc-sazu.si/?q=en/node/90	2012	1
University of Warsaw	Acta Geologica Polonica	Jan-09	Jan-09	0	http://agp.org.pl/	2012	1
J-Stage	Acta Histochemica et Cytochemica	1347-5800	0044-5991	0	http://www.jstage.jst.go.jp/browse/ahc	2012	0
Okayama University Medical School	Acta Medica Okayama	0386-300X	0386-300X	0	http://ousar.lib.okayama-u.ac.jp/amo	2012	0
Union of Metallurgy Mining Industry and Geology of Slovak Republic	Acta Montanistica Slovaca	1335-1788	1335-1788	0	http://actamont.tuke.sk/index.html	2012	1
Polish Neuroscience Society	Acta Neurobiologiae Experimentalis	0065-1400	0065-1400	0	http://www.ane.pl/index.php	2012	1
Nordic Orthopaedic Federation	Acta Orthopaedica	1745-3682	1745-3674	0	http://www.actaorthop.org/index.php?p=include/mainpage	2012	1
Instytut Paleobiologii PAN	Acta Palaeontologica Polonica	1732-2421	0567-7920	0	http://www.app.pan.pl/home.html	2012	1
Polish Academy of Sciences	ACTA PHYSICA POLONICA A	1509-5770	0587-4246	0	http://przyrbwn.icm.edu.pl/APP/apphome.html	2012	1
Institute of EnvironmentalÃ_ Sciences	Acta Protozoologica	1689-0027	0065-1583	0	http://www.eko.uj.edu.pl/ap/	2012	1
BioMed Central Ltd	Acta Veterinaria Scandinavica	1751-0147	0044-605X	2000	http://www.actavetscand.com	2012	0
Hungarian Academy of Sciences	Acta Zoologica Academiae Scientiarum Hungaricae	1217-8837	1217-8837	0	http://actazool.nhmus.hu/	2012	0
Hindawi	Active and Passive Electronic Components	1563-5031	NULL	800	http://www.hindawi.com/journals/apec/apc/	2012	0
MusÅ_um national dHistoire naturelle	Adansonia	1280-8571	1280-8571	0	http://www.mnhn.fr/publication/adanson/aadanson.html	2012	1
Hindawi	Advances in Acoustics and Vibration	1687-627X	NULL	600	http://www.hindawi.com/journals/aav/	2012	0
Hindawi	Advances in Artificial Neural Systems 	1687-7608	NULL	600	http://www.hindawi.com/journals/aans/	2012	0
