pub_name,journal_name,date,journal_type,issn,apc
Elsevier,Academic Pediatrics,2016-06-18,Hybrid,1876-2859,3000.00
Elsevier,Academic Radiology,2016-06-18,Hybrid,1076-6332,2500.00
Elsevier,Accident Analysis and Prevention,2016-06-18,Hybrid,0001-4575,3300.00
Elsevier,Accounting Forum,2016-06-18,Hybrid,0155-9982,1100.00
Elsevier,"Accounting, Organizations and Society",2016-06-18,Hybrid,0361-3682,1800.00
Elsevier,Achievements in the Life Sciences,2016-06-18,OA,2078-1520,0.00
Elsevier,Acta Anaesthesiologica Taiwanica,2016-06-18,OA,1875-4597,3000.00
Elsevier,Acta Astronautica,2016-06-18,Hybrid,0094-5765,2500.00
Elsevier,Acta Biomaterialia,2016-06-18,Hybrid,1742-7061,3000.00
Elsevier,Acta Ecologica Sinica,2016-06-18,Hybrid,1872-2032,3000.00
Elsevier,Acta Haematologica Polonica,2016-06-18,Hybrid,0001-5814,3000.00
Elsevier,Acta Histochemica,2016-06-18,Hybrid,0065-1281,1800.00
Elsevier,Acta Materialia,2016-06-18,Hybrid,1359-6454,3000.00
Elsevier,Acta Mathematica Scientia,2016-06-18,Hybrid,0252-9602,3000.00
Elsevier,Acta Mechanica Solida Sinica,2016-06-18,Hybrid,0894-9166,3000.00
Elsevier,Acta Oecologica,2016-06-18,Hybrid,1146-609X,2500.00
Elsevier,Acta Otorrinolaringologica (English Edition),2016-06-18,Hybrid,2173-5735,3000.00
Elsevier,Acta Otorrinolaringologica Espanola,2016-06-18,Hybrid,0001-6519,3000.00
Elsevier,Acta Pharmaceutica Sinica B,2016-06-18,OA,2211-3835,0.00
Elsevier,Acta Psychologica,2016-06-18,Hybrid,0001-6918,1800.00
Elsevier,Actas dermosifiliograficas,2016-06-18,Hybrid,0001-7310,3000.00
Elsevier,Actas Dermo-Sifiliográficas (English Edition),2016-06-18,Hybrid,1578-2190,3000.00
Elsevier,Acta Sociolgica,2016-06-18,OA,0186-6028,0.00
Elsevier,Actas Urologicas Espanolas,2016-06-18,Hybrid,0210-4806,3000.00
Elsevier,Actas Urolgicas Españolas (English Edition),2016-06-18,Hybrid,2173-5786,3000.00
Elsevier,Acta Tropica,2016-06-18,Hybrid,0001-706X,2150.00
Elsevier,Acta Urolgica Portuguesa,2016-06-18,OA,2341-4022,0.00
Elsevier,Actualités pharmaceutiques,2016-06-18,Hybrid,0515-3700,3000.00
Elsevier,Acupuncture and Related Therapies,2016-06-18,Hybrid,2211-7660,1700.00
Elsevier,Addictive Behaviors,2016-06-18,Hybrid,0306-4603,2150.00
Elsevier,Addictive Behaviors Reports,2016-06-18,OA,2352-8532,1500.00
Elsevier,Additive Manufacturing,2016-06-18,Hybrid,2214-8604,1750.00
Elsevier,Ad Hoc Networks,2016-06-18,Hybrid,1570-8705,2400.00
Elsevier,Advanced Drug Delivery Reviews,2016-06-18,Hybrid,0169-409X,3500.00
Elsevier,Advanced Engineering Informatics,2016-06-18,Hybrid,1474-0346,2400.00
Elsevier,Advanced Powder Technology,2016-06-18,Hybrid,0921-8831,2800.00
Elsevier,"Advances in Accounting, incorporating Advances in International Accounting",2016-06-18,Hybrid,0882-6110,1100.00
Elsevier,Advances in Anesthesia,2016-06-18,Hybrid,0737-6146,3000.00
Elsevier,Advances in Applied Mathematics,2016-06-18,Hybrid,0196-8858,1500.00
Elsevier,Advances in Biological Regulation,2016-06-18,Hybrid,2212-4926,2200.00
Elsevier,Advances in Chronic Kidney Disease,2016-06-18,Hybrid,1548-5595,2500.00
Elsevier,Advances in Climate Change Research,2016-06-18,OA,1674-9278,1500.00
Elsevier,Advances in Colloid and Interface Science,2016-06-18,Hybrid,0001-8686,3300.00
Elsevier,Advances in Digestive Medicine,2016-06-18,OA,2351-9797,0.00
Elsevier,Advances in Engineering Software,2016-06-18,Hybrid,0965-9978,2500.00
Elsevier,Advances in Integrative Medicine,2016-06-18,Hybrid,2212-9588,3000.00
Elsevier,Advances in Life Course Research,2016-06-18,Hybrid,1040-2608,1100.00
Elsevier,Advances in Mathematics,2016-06-18,Hybrid,0001-8708,1500.00
Elsevier,Advances in Medical Sciences,2016-06-18,Hybrid,1896-1126,3000.00
Elsevier,Advances in Pediatrics,2016-06-18,Hybrid,0065-3101,3000.00
Elsevier,Advances in Radiation Oncology,2016-06-18,OA,2452-1094,2000.00
Elsevier,Advances in Small Animal Medicine and Surgery,2016-06-18,Hybrid,1041-7826,3000.00
Elsevier,Advances in Space Research,2016-06-18,Hybrid,0273-1177,2200.00
Elsevier,Advances in Surgery,2016-06-18,Hybrid,0065-3411,3000.00
Elsevier,Advances in Water Resources,2016-06-18,Hybrid,0309-1708,3500.00
Elsevier,Aeolian Research,2016-06-18,Hybrid,1875-9637,2500.00
Elsevier,Aerospace Science and Technology,2016-06-18,Hybrid,1270-9638,2500.00
Elsevier,AEUE - International Journal of Electronics and Communications,2016-06-18,Hybrid,1434-8411,1800.00
Elsevier,African Journal of Emergency Medicine,2016-06-18,OA,2211-419X,0.00
Elsevier,African Journal of Urology,2016-06-18,OA,1110-5704,0.00
Elsevier,Ageing Research Reviews,2016-06-18,Hybrid,1568-1637,3000.00
Elsevier,Aggression and Violent Behavior,2016-06-18,Hybrid,1359-1789,1800.00
Elsevier,Agricultural and Forest Meteorology,2016-06-18,Hybrid,0168-1923,3700.00
Elsevier,Agricultural Systems,2016-06-18,Hybrid,0308-521X,3600.00
Elsevier,Agricultural Water Management,2016-06-18,Hybrid,0378-3774,2500.00
Elsevier,Agriculture and Agricultural Science Procedia,2016-06-18,OA,2210-7843,0.00
Elsevier,"Agriculture, Ecosystems and Environment",2016-06-18,Hybrid,0167-8809,3600.00
Elsevier,Agri Gene,2016-06-18,Hybrid,2352-2151,1500.00
Elsevier,Ain Shams Engineering Journal,2016-06-18,OA,2090-4479,0.00
Elsevier,Air Medical Journal,2016-06-18,Hybrid,1067-991X,3000.00
Elsevier,AJIC:  American Journal of Infection Control,2016-06-18,Hybrid,0196-6553,1700.00
Elsevier,AKCE International Journal of Graphs and Combinatorics,2016-06-18,OA,0972-8600,0.00
Elsevier,Alcohol,2016-06-18,Hybrid,0741-8329,2500.00
Elsevier,Alcoholism and Drug Addiction,2016-06-18,OA,0867-4361,0.00
Elsevier,Alexandria Engineering Journal,2016-06-18,OA,1110-0168,0.00
Elsevier,Alexandria Journal of Medicine,2016-06-18,OA,2090-5068,0.00
Elsevier,Algal Research,2016-06-18,Hybrid,2211-9264,2500.00
Elsevier,Allergologia et Immunopathologia,2016-06-18,Hybrid,0301-0546,3000.00
Elsevier,Allergology International,2016-06-18,OA,1323-8930,0.00
Elsevier,"Alter - European Journal of Disability research, Revue européenne de recherche sur le handicap",2016-06-18,Hybrid,1875-0672,3000.00
Elsevier,"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",2016-06-18,OA,2352-8729,2000.00
Elsevier,Alzheimer's & Dementia: The Journal of the Alzheimer's Association,2016-06-18,Hybrid,1552-5260,3000.00
Elsevier,Alzheimer's & Dementia: Translational Research & Clinical Interventions,2016-06-18,OA,2352-8737,2000.00
Elsevier,American Heart Journal,2016-06-18,Hybrid,0002-8703,3000.00
Elsevier,American Journal of Emergency Medicine,2016-06-18,Hybrid,0735-6757,2500.00
Elsevier,American Journal of Kidney Diseases,2016-06-18,Hybrid,0272-6386,3000.00
Elsevier,American Journal of Obstetrics and Gynecology,2016-06-18,Hybrid,0002-9378,3550.00
Elsevier,American Journal of Ophthalmology,2016-06-18,Hybrid,0002-9394,3300.00
Elsevier,American Journal of Ophthalmology Case Reports,2016-06-18,OA,2451-9936,750.00
Elsevier,American Journal of Orthodontics & Dentofacial Orthopedics,2016-06-18,Hybrid,0889-5406,3000.00
Elsevier,American Journal of Otolaryngology--Head and Neck Medicine and Surgery,2016-06-18,Hybrid,0196-0709,2500.00
Elsevier,American Journal of Preventive Medicine,2016-06-18,Hybrid,0749-3797,2500.00
Elsevier,Ampersand,2016-06-18,OA,2215-0390,1000.00
Elsevier,Anaerobe,2016-06-18,Hybrid,1075-9964,1750.00
Elsevier,Anaesthesia & Intensive Care Medicine,2016-06-18,Hybrid,1472-0299,3000.00
Elsevier,Anales de Antropología,2016-06-18,OA,0185-1225,0.00
Elsevier,Anales de Pediatria,2016-06-18,Hybrid,1695-4033,3000.00
Elsevier,Analytica Chimica Acta,2016-06-18,Hybrid,0003-2670,3300.00
Elsevier,Analytical Biochemistry,2016-06-18,Hybrid,0003-2697,3300.00
Elsevier,Analytical Chemistry Research,2016-06-18,OA,2214-1812,1500.00
Elsevier,Analytic Methods in Accident Research,2016-06-18,Hybrid,2213-6657,1800.00
Elsevier,Anesthesiology Clinics,2016-06-18,Hybrid,1932-2275,3000.00
Elsevier,Angiología,2016-06-18,Hybrid,0003-3170,3000.00
Elsevier,Angiologia e Cirurgia Vascular,2016-06-18,OA,1646-706X,0.00
Elsevier,Animal Behaviour,2016-06-18,Hybrid,0003-3472,2200.00
Elsevier,Animal Feed Science and Technology,2016-06-18,Hybrid,0377-8401,2500.00
Elsevier,Animal Nutrition,2016-06-18,OA,2405-6545,0.00
Elsevier,Animal Reproduction Science,2016-06-18,Hybrid,0378-4320,2500.00
Elsevier,Annales de cardiologie et d'angéiologie,2016-06-18,Hybrid,0003-3928,3000.00
Elsevier,Annales de chirurgie plastique esthétique,2016-06-18,Hybrid,0294-1260,3000.00
Elsevier,Annales de Dermatologie et de Vénéréologie,2016-06-18,Hybrid,0151-9638,3000.00
Elsevier,Annales de l'Institut Henri Poincaré / Analyse non linéaire,2016-06-18,Hybrid,0294-1449,700.00
Elsevier,Annales d'Endocrinologie,2016-06-18,Hybrid,0003-4266,3000.00
Elsevier,Annales de Paléontologie,2016-06-18,Hybrid,0753-3969,3000.00
Elsevier,Annales de Pathologie,2016-06-18,Hybrid,0242-6498,3000.00
Elsevier,Annales françaises d’oto-rhino-laryngologie et de pathologie cervico-faciale,2016-06-18,Hybrid,1879-7261,3000.00
Elsevier,Annales médico-psychologiques,2016-06-18,Hybrid,0003-4487,3000.00
Elsevier,Annales Pharmaceutiques Françaises,2016-06-18,Hybrid,0003-4509,3000.00
Elsevier,Annals of Agrarian Science,2016-06-18,OA,1512-1887,0.00
Elsevier,Annals of Agricultural Sciences,2016-06-18,OA,0570-1783,0.00
Elsevier,"Annals of Allergy, Asthma & Immunology",2016-06-18,Hybrid,1081-1206,3000.00
Elsevier,Annals of Anatomy,2016-06-18,Hybrid,0940-9602,1800.00
Elsevier,Annals of Diagnostic Pathology,2016-06-18,Hybrid,1092-9134,2500.00
Elsevier,Annals of Emergency Medicine,2016-06-18,Hybrid,0196-0644,3000.00
Elsevier,Annals of Epidemiology,2016-06-18,Hybrid,1047-2797,3000.00
Elsevier,Annals of Global Health,2016-06-18,OA,2214-9996,1200.00
Elsevier,Annals of Medicine and Surgery,2016-06-18,OA,2049-0801,600.00
Elsevier,Annals of Nuclear Energy,2016-06-18,Hybrid,0306-4549,1900.00
Elsevier,Annals of Physical and Rehabilitation Medicine,2016-06-18,Hybrid,1877-0657,3000.00
Elsevier,Annals of Physics,2016-06-18,Hybrid,0003-4916,2200.00
Elsevier,Annals of Pure and Applied Logic,2016-06-18,Hybrid,0168-0072,1500.00
Elsevier,Annals of Tourism Research,2016-06-18,Hybrid,0160-7383,1800.00
Elsevier,Annals of Vascular Surgery,2016-06-18,Hybrid,0890-5096,1700.00
Elsevier,Annual Reviews in Control,2016-06-18,Hybrid,1367-5788,3100.00
Elsevier,Anthropocene,2016-06-18,Hybrid,2213-3054,2500.00
Elsevier,Antiviral Research,2016-06-18,Hybrid,0166-3542,2600.00
Elsevier,Anuario de Psicología Jurídica,2016-06-18,OA,1133-0740,0.00
Elsevier,Anuario Mexicano de Derecho Internacional,2016-06-18,OA,1870-4654,0.00
Elsevier,AORN Journal,2016-06-18,Hybrid,0001-2092,3000.00
Elsevier,Apollo Medicine,2016-06-18,Hybrid,0976-0016,3000.00
Elsevier,Appetite,2016-06-18,Hybrid,0195-6663,2600.00
Elsevier,Applied Acoustics,2016-06-18,Hybrid,0003-682X,2400.00
