pub_name,journal_name,date,journal_type,issn,apc
Hindawi,Abstract and Applied Analysis,2016-06-18,OA,1687-0409,800
Hindawi,Advances in Acoustics and Vibration,2016-06-18,OA,1687-627X,600
Hindawi,Advances in Agriculture,2016-06-18,OA,2314-7539,600
Hindawi,Advances in Artificial Intelligence,2016-06-18,OA,1687-7489,600
Hindawi,Advances in Astronomy,2016-06-18,OA,1687-7977,1250
Hindawi,Advances in Biology,2016-06-18,OA,2314-7563,600
Hindawi,Advances in Chemistry,2016-06-18,OA,2314-7571,600
Hindawi,Advances in Decision Sciences,2016-06-18,OA,2090-3367,600
Hindawi,Advances in Fuzzy Systems,2016-06-18,OA,1687-711X,1000
Hindawi,Advances in Hematology,2016-06-18,OA,1687-9112,800
Hindawi,Advances in Materials Science and Engineering,2016-06-18,OA,1687-8442,1500
Hindawi,Advances in Medicine,2016-06-18,OA,2314-758X,800
Hindawi,Advances in Multimedia,2016-06-18,OA,1687-5699,1000
Hindawi,Advances in Nursing,2016-06-18,OA,2314-7725,600
Hindawi,Advances in Optical Technologies,2016-06-18,OA,1687-6407,600
Hindawi,Advances in OptoElectronics,2016-06-18,OA,1687-5648,600
Hindawi,Advances in Orthopedics,2016-06-18,OA,2090-3472,800
Hindawi,Advances in Physical Chemistry,2016-06-18,OA,1687-7993,600
Hindawi,Advances in Preventive Medicine,2016-06-18,OA,2090-3499,800
Hindawi,Advances in Public Health,2016-06-18,OA,2314-7784,600
Hindawi,Advances in Software Engineering,2016-06-18,OA,1687-8663,600
Hindawi,Advances in Urology,2016-06-18,OA,1687-6377,800
Hindawi,Advances in Virology,2016-06-18,OA,1687-8647,1000
Hindawi,AIDS Research and Treatment,2016-06-18,OA,2090-1259,1000
Hindawi,Analytical Cellular Pathology,2016-06-18,OA,2210-7185,1500
Hindawi,Anemia,2016-06-18,OA,2090-1275,1000
Hindawi,Applied and Environmental Soil Science,2016-06-18,OA,1687-7675,600
Hindawi,Applied Computational Intelligence and Soft Computing,2016-06-18,OA,1687-9732,1000
Hindawi,Arthritis,2016-06-18,OA,2090-1992,1000
Hindawi,Autism Research and Treatment,2016-06-18,OA,2090-1933,800
Hindawi,Behavioural Neurology,2016-06-18,OA,1875-8584,1500
Hindawi,Bioinorganic Chemistry and Applications,2016-06-18,OA,1687-479X,1250
Hindawi,Biotechnology Research International,2016-06-18,OA,2090-3146,800
Hindawi,Canadian Journal of Gastroenterology and Hepatology,2016-06-18,OA,2291-2797,2000
Hindawi,Canadian Respiratory Journal,2016-06-18,OA,1916-7245,2000
Hindawi,Case Reports in Cardiology,2016-06-18,OA,2090-6412,500
Hindawi,Case Reports in Dentistry,2016-06-18,OA,2090-6455,400
Hindawi,Case Reports in Emergency Medicine,2016-06-18,OA,2090-6498,400
Hindawi,Case Reports in Gastrointestinal Medicine,2016-06-18,OA,2090-6536,400
Hindawi,Case Reports in Hematology,2016-06-18,OA,2090-6579,400
Hindawi,Case Reports in Immunology,2016-06-18,OA,2090-6617,500
Hindawi,Case Reports in Medicine,2016-06-18,OA,1687-9635,400
Hindawi,Case Reports in Neurological Medicine,2016-06-18,OA,2090-6676,400
Hindawi,Case Reports in Oncological Medicine,2016-06-18,OA,2090-6714,500
Hindawi,Case Reports in Orthopedics,2016-06-18,OA,2090-6757,400
Hindawi,Case Reports in Pathology,2016-06-18,OA,2090-679X,400
Hindawi,Case Reports in Psychiatry,2016-06-18,OA,2090-6838,400
Hindawi,Case Reports in Radiology,2016-06-18,OA,2090-6870,400
Hindawi,Case Reports in Surgery,2016-06-18,OA,2090-6919,400
Hindawi,Case Reports in Urology,2016-06-18,OA,2090-6978,400
Hindawi,Case Reports in Veterinary Medicine,2016-06-18,OA,2090-701X,400
Hindawi,Child Development Research,2016-06-18,OA,2090-3995,500
Hindawi,Chinese Journal of Engineering,2016-06-18,OA,2314-8063,600
Hindawi,Cholesterol,2016-06-18,OA,2090-1291,1000
Hindawi,Current Gerontology and Geriatrics Research,2016-06-18,OA,1687-7071,800
Hindawi,Depression Research and Treatment,2016-06-18,OA,2090-133X,800
Hindawi,Disease Markers,2016-06-18,OA,1875-8630,1500
Hindawi,Education Research International,2016-06-18,OA,2090-4010,500
Hindawi,Enzyme Research,2016-06-18,OA,2090-0414,800
Hindawi,Epilepsy Research and Treatment,2016-06-18,OA,2090-1356,800
Hindawi,Genetics Research International,2016-06-18,OA,2090-3162,1000
Hindawi,Hepatitis Research and Treatment,2016-06-18,OA,2090-1372,800
Hindawi,Indian Journal of Materials Science,2016-06-18,OA,2314-7490,600
Hindawi,International Journal of Aerospace Engineering,2016-06-18,OA,1687-5974,1500
Hindawi,International Journal of Alzheimer’s Disease,2016-06-18,OA,2090-0252,800
Hindawi,International Journal of Analytical Chemistry,2016-06-18,OA,1687-8779,1250
Hindawi,International Journal of Biomedical Imaging,2016-06-18,OA,1687-4196,1000
Hindawi,International Journal of Breast Cancer,2016-06-18,OA,2090-3189,800
Hindawi,International Journal of Cell Biology,2016-06-18,OA,1687-8884,800
Hindawi,International Journal of Chronic Diseases,2016-06-18,OA,2314-5749,800
Hindawi,International Journal of Corrosion,2016-06-18,OA,1687-9333,600
Hindawi,International Journal of Differential Equations,2016-06-18,OA,1687-9651,600
Hindawi,International Journal of Distributed Sensor Networks,2016-06-18,OA,1550-1477,2000
Hindawi,International Journal of Electrochemistry,2016-06-18,OA,2090-3537,1000
Hindawi,International Journal of Family Medicine,2016-06-18,OA,2090-2050,800
Hindawi,International Journal of Forestry Research,2016-06-18,OA,1687-9376,600
Hindawi,International Journal of Geophysics,2016-06-18,OA,1687-8868,1000
Hindawi,International Journal of Hypertension,2016-06-18,OA,2090-0392,1000
Hindawi,International Journal of Inorganic Chemistry,2016-06-18,OA,2090-2034,600
Hindawi,International Journal of Mathematics and Mathematical Sciences,2016-06-18,OA,1687-0425,600
Hindawi,International Journal of Medicinal Chemistry,2016-06-18,OA,2090-2077,1000
Hindawi,International Journal of Microbiology,2016-06-18,OA,1687-9198,800
Hindawi,International Journal of Nephrology,2016-06-18,OA,2090-2158,800
Hindawi,International Journal of Otolaryngology,2016-06-18,OA,1687-921X,800
Hindawi,International Journal of Population Research,2016-06-18,OA,2090-4037,500
Hindawi,International Journal of Reconfigurable Computing,2016-06-18,OA,1687-7209,1000
Hindawi,International Journal of Rheumatology,2016-06-18,OA,1687-9279,800
