pub_name,journal_name,date,journal_type,issn,apc
 Guttmacher Institute,International Perspectives on Sexual and Reproductive Health,2016-06-18,OA,1931-2393,2012
 Guttmacher Institute,International Perspectives on Sexual and Reproductive Health,2016-06-18,OA,1931-2393,2012
_stanbul Technical University,Records of Natural Products,2016-06-18,OA,1307-6167,2012
_stanbul Technical University,Records of Natural Products,2016-06-18,OA,1307-6167,2012
ABRASCO,Ciencia & Saude Coletiva,2016-06-18,OA,1678-4561,2012
ACAD BRASILEIRA DE CIENCIAS,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,2016-06-18,OA,1678-2690,2012
ACAD MEDICINE SINGAPORE,ANNALS ACADEMY OF MEDICINE SINGAPORE,2016-06-18,OA,0304-4602,2012
ACAD MEDICINE SINGAPORE,ANNALS ACADEMY OF MEDICINE SINGAPORE,2016-06-18,OA,0304-4602,2012
ACAD MEDICINE SINGAPORE,ANNALS ACADEMY OF MEDICINE SINGAPORE,2016-06-18,OA,0304-4602,2013
ACAD SCIENCE SOUTH AFRICA A S S AF,SOUTH AFRICAN JOURNAL OF SCIENCE,2016-06-18,OA,1996-7489,2012
ACAD SCIENCE SOUTH AFRICA A S S AF,SOUTH AFRICAN JOURNAL OF SCIENCE,2016-06-18,OA,1996-7489,2012
ACAD SCIENCE SOUTH AFRICA A S S AF,SOUTH AFRICAN JOURNAL OF SCIENCE,2016-06-18,OA,1996-7489,2013
Academia Scientiarum Fennica,Annales Academi¾ Scientiarum Fennic¾ Mathematica,2016-06-18,OA,1239-629X,2012
Academia Scientiarum Fennica,Annales Academi¾ Scientiarum Fennic¾ Mathematica,2016-06-18,OA,1239-629X,2012
Academia Sinica,ZOOLOGICAL STUDIES,2016-06-18,OA,1021-5506,2012
Academia Sinica,ZOOLOGICAL STUDIES,2016-06-18,OA,1021-5506,2012
Academia Sinica,ZOOLOGICAL STUDIES,2016-06-18,OA,1021-5506,2013
Academia Sinica,Botanical Studies,2016-06-18,OA,1817-406x,2013
Academic Journals,African Journal of Agricultural Research,2016-06-18,OA,1991-637X,2012
ACADEMIC JOURNALS,AFRICAN JOURNAL OF BIOTECHNOLOGY,2016-06-18,OA,1684-5315,2012
ACADEMIC JOURNALS,African Journal of Business Management,2016-06-18,OA,1993-8233,2012
ACADEMIC JOURNALS,African Journal of Microbiology Research,2016-06-18,OA,1996-0808,2012
Academic Journals,African Journal of Pharmacy and Pharmacology,2016-06-18,OA,1996-0816,2012
ACADEMIC JOURNALS,International Journal of Physical Sciences,2016-06-18,OA,1992-1950,2012
ACADEMIC JOURNALS,Journal of Medicinal Plants Research,2016-06-18,OA,1996-0875,2012
ACADEMIC JOURNALS,Scientific Research and Essays,2016-06-18,OA,1992-2248,2012
Academic Journals,African Journal of Agricultural Research,2016-06-18,OA,1991-637X,2012
ACADEMIC JOURNALS,AFRICAN JOURNAL OF BIOTECHNOLOGY,2016-06-18,OA,1684-5315,2012
ACADEMIC JOURNALS,African Journal of Microbiology Research,2016-06-18,OA,1996-0808,2012
Academic Journals,African Journal of Pharmacy and Pharmacology,2016-06-18,OA,1996-0816,2012
