pub_name,journal_name,date,journal_type,issn,apc
Springer,AAPS Open,2016-06-18,OA,2364-9534,2500
Springer,In Silico Pharmacology,2016-06-18,OA,2193-9616,1350
Springer,Asian Journal of Sustainability and Social Responsibility,2016-06-18,OA,2365-6417,0
Springer,Decision Analytics,2016-06-18,OA,2193-8636,1085
Springer,International Journal of Corporate Social Responsibility,2016-06-18,OA,2366-0074,980
Springer,International Journal of Quality Innovation,2016-06-18,OA,2363-7021,980
Springer,Journal of Chinese Management,2016-06-18,OA,2195-9897,0
Springer,Journal of Global Entrepreneurship Research,2016-06-18,OA,2251-7316,0
Springer,Journal of Innovation and Entrepreneurship,2016-06-18,OA,2192-5372,1085
Springer,"Journal of Open Innovation: Technology, Market, and Complexity",2016-06-18,OA,2199-8531,800
Springer,Journal of Organization Design,2016-06-18,OA,2245-408X,0
Springer,Journal of Shipping and Trade,2016-06-18,OA,2364-4575,800
Springer,"Technology, Innovation and Education",2016-06-18,OA,2197-9855,1085
Springer,Bioresources and Bioprocessing,2016-06-18,OA,2197-4365,0
Springer,Chemistry Central Journal,2016-06-18,OA,1752-153X,1890
Springer,International Journal of Food Contamination,2016-06-18,OA,2196-2804,1750
Springer,Journal of Analytical Science and Technology,2016-06-18,OA,2093-3371,0
Springer,Journal of Cheminformatics,2016-06-18,OA,1758-2946,1890
Springer,Sustainable Chemical Processes,2016-06-18,OA,2043-7129,1140
Springer,Textiles and Clothing Sustainability,2016-06-18,OA,2197-9936,1030
Springer,EPJ Data Science,2016-06-18,OA,2193-1127,1230
Springer,Human-centric Computing and Information Sciences,2016-06-18,OA,2192-1962,0
Springer,International Journal of Educational Technology in Higher Education,2016-06-18,OA,2365-9440,0
Springer,IPSJ Transactions on Computer Vision and Applications,2016-06-18,OA,1882-6695,800
Springer,Journal of Big Data,2016-06-18,OA,2196-1115,1155
Springer,Journal of Cloud Computing,2016-06-18,OA,2192-113X,905
Springer,Journal of Interaction Science,2016-06-18,OA,2194-0827,860
Springer,Journal of Internet Services and Applications,2016-06-18,OA,1869-0238,1085
Springer,Journal of Software Engineering Research and Development,2016-06-18,OA,2195-1721,1085
Springer,Journal of the Brazilian Computer Society,2016-06-18,OA,1678-4804,1085
Springer,Journal of Trust Management,2016-06-18,OA,2196-064X,1085
Springer,mUX: The Journal of Mobile User Experience,2016-06-18,OA,2196-873X,910
Springer,Security Informatics,2016-06-18,OA,2190-8532,1085
Springer,Smart Learning Environments,2016-06-18,OA,2196-7091,1085
Springer,Evidence-Based Endodontics,2016-06-18,OA,2364-9526,1635
Springer,International Journal of Implant Dentistry,2016-06-18,OA,2198-4034,0
Springer,Maxillofacial Plastic and Reconstructive Surgery,2016-06-18,OA,2288-8586,1780
Springer,Progress in Orthodontics,2016-06-18,OA,2196-1042,0
Springer,Earth Perspectives,2016-06-18,OA,2194-6434,1350
Springer,"Earth, Planets and Space",2016-06-18,OA,1880-5981,1105
Springer,Geochemical Transactions,2016-06-18,OA,1467-4866,1140
Springer,Geoscience Letters,2016-06-18,OA,2196-4092,1030
Springer,Geothermal Energy,2016-06-18,OA,2195-9706,0
Springer,Journal of Applied Volcanology,2016-06-18,OA,2191-5040,1290
Springer,Progress in Earth and Planetary Science,2016-06-18,OA,2197-4284,1230
Springer,Agricultural and Food Economics,2016-06-18,OA,2193-7532,650
Springer,Brazilian Journal of Science and Technology,2016-06-18,OA,2196-288X,645
Springer,China Finance and Economic Review,2016-06-18,OA,2196-5633,0
Springer,China Journal of Economic Research,2016-06-18,OA,2199-4722,0
Springer,Environmental Systems Research,2016-06-18,OA,2193-2697,1085
Springer,Financial Innovation,2016-06-18,OA,2199-4730,0
Springer,IZA Journal of European Labor Studies,2016-06-18,OA,2193-9012,0
Springer,IZA Journal of Labor & Development,2016-06-18,OA,2193-9020,0
Springer,IZA Journal of Labor Economics,2016-06-18,OA,2193-8997,0
Springer,IZA Journal of Labor Policy,2016-06-18,OA,2193-9004,0
Springer,IZA Journal of Migration,2016-06-18,OA,2193-9039,0
Springer,Journal of Economic Structures,2016-06-18,OA,2193-2409,0
Springer,Latin American Economic Review,2016-06-18,OA,2196-436X,0
Springer,Triple Helix,2016-06-18,OA,2197-1927,1140
Springer,Asia-Pacific Science Education,2016-06-18,OA,2364-1177,800
Springer,Asian-Pacific Journal of Second and Foreign Language Education,2016-06-18,OA,2363-5169,0
Springer,Empirical Research in Vocational Education and Training,2016-06-18,OA,1877-6345,0
Springer,Fields Mathematics Education Journal,2016-06-18,OA,1925-6639,0
Springer,International Journal for Educational Integrity,2016-06-18,OA,1833-2595,1030
Springer,International Journal of Child Care and Education Policy,2016-06-18,OA,2288-6729,0
Springer,International Journal of STEM Education,2016-06-18,OA,2196-7822,1105
Springer,Language Testing in Asia,2016-06-18,OA,2229-0443,1085
Springer,Large-scale Assessments in Education,2016-06-18,OA,2196-0739,0
Springer,Multilingual Education,2016-06-18,OA,2191-5059,1085
Springer,Research and Practice in Technology Enhanced Learning,2016-06-18,OA,1793-7078,0
Springer,Video Journal of Education and Pedagogy,2016-06-18,OA,2364-4583,0
Springer,Future Cities and Environment,2016-06-18,OA,2363-9075,1135
Springer,Protection and Control of Modern Power Systems,2016-06-18,OA,2367-0983,0
Springer,"Renewables: Wind, Water, and Solar",2016-06-18,OA,2198-994X,980
Springer,Advanced Modeling and Simulation in Engineering Sciences,2016-06-18,OA,2213-7467,430
Springer,Asia Pacific Journal on Computational Engineering,2016-06-18,OA,2196-1166,1350
Springer,Computational Cognitive Science,2016-06-18,OA,2195-3961,0
Springer,"Energy, Sustainability and Society",2016-06-18,OA,2192-0567,1140
Springer,EURASIP Journal on Advances in Signal Processing,2016-06-18,OA,1687-6180,1420
Springer,"EURASIP Journal on Audio, Speech, and Music Processing",2016-06-18,OA,1687-4722,1160
Springer,EURASIP Journal on Bioinformatics and Systems Biology,2016-06-18,OA,1687-4153,840
Springer,EURASIP Journal on Embedded Systems,2016-06-18,OA,1687-3963,980
Springer,EURASIP Journal on Image and Video Processing,2016-06-18,OA,1687-5281,1350
Springer,EURASIP Journal on Information Security,2016-06-18,OA,1687-417X,775
Springer,EURASIP Journal on Wireless Communications and Networking,2016-06-18,OA,1687-1499,1420
Springer,Fire Science Reviews,2016-06-18,OA,2193-0414,1155
Springer,In Silico Cell and Tissue Science,2016-06-18,OA,2196-050X,1030
Springer,Journal of Computational Surgery,2016-06-18,OA,2194-3990,1465
Springer,Journal of Frugal Innovation,2016-06-18,OA,2197-7917,1030
Springer,Journal of Remanufacturing,2016-06-18,OA,2210-4690,1085
Springer,Journal of Solid State Lighting,2016-06-18,OA,2196-1107,1230
Springer,Mechanics of Advanced Materials and Modern Processes,2016-06-18,OA,2198-7874,1350
Springer,Micro and Nano Systems Letters,2016-06-18,OA,2213-9621,0
Springer,ROBOMECH Journal,2016-06-18,OA,2197-4225,1165
Springer,Robotics and Biomimetics,2016-06-18,OA,2197-3768,1230
Springer,Scientific Phone Apps and Mobile Devices,2016-06-18,OA,2364-4958,1475
Springer,Smart Water,2016-06-18,OA,2198-2619,980
Springer,Visualization in Engineering,2016-06-18,OA,2213-7459,1350
Springer,Carbon Balance and Management,2016-06-18,OA,1750-0680,1230
Springer,Ecological Processes,2016-06-18,OA,2192-1709,1230
Springer,Environmental Sciences Europe,2016-06-18,OA,2190-4715,1085
Springer,Geoenvironmental Disasters,2016-06-18,OA,2197-8670,980
Springer,Pastoralism,2016-06-18,OA,2041-7136,1355
Springer,"City, Territory and Architecture",2016-06-18,OA,2195-2701,0
Springer,"Open Geospatial Data, Software and Standards",2016-06-18,OA,2363-7501,840
Springer,The Journal of Global Positioning Systems,2016-06-18,OA,1446-3164,0
Springer,Journal of International Humanitarian Action,2016-06-18,OA,2364-3404,0
Springer,AMB Express,2016-06-18,OA,2191-0855,2145
