pub_name,journal_name,date,journal_type,issn,apc
Wiley,Advanced Science,2016-06-17,OA,2195-1071,4500
Wiley,Aging Cell,2016-06-17,OA,1098-2337,2900
Wiley,Annals of Clinical and Translational Neurology,2016-06-17,OA,1744-7348,3000
Wiley,Asia and the Pacific Policy Studies,2016-06-17,OA,1554-6306,No APC
Wiley,Bioengineering & Translational Medicine,2016-06-17,OA,1521-186X,1800
Wiley,Brain and Behavior,2016-06-17,OA,1095-8339,2700
Wiley,Cancer Medicine,2016-06-17,OA,1365-2168,2430
Wiley,Cancer Science,2016-06-17,OA,1365-2168,2250
Wiley,ChemistryOpen,2016-06-17,OA,1861-471X,3000
Wiley,Clinical and Experimental Dental Research,2016-06-17,OA,1098-2353,2250
Wiley,Clinical and Translational Science,2016-06-17,OA,1440-1681,3000
Wiley,Clinical Case Reports,2016-06-17,OA,1440-1681,800
Wiley,Conservation Letters,2016-06-17,OA,1523-1739,1850
Wiley,CPT: Pharmacometrics & Systems Pharmacology ,2016-06-17,OA,1556-6978,3000
Wiley,Earth and Space Science,2016-06-17,OA,2333-5084,1800
Wiley,Earth's Future,2016-06-17,OA,2328-4277,1800
Wiley,Ecology and Evolution,2016-06-17,OA,1442-8903,1950
Wiley,Ecosphere,2016-06-17,OA,2150-8925,1500
Wiley,Ecosystem Health and Sustainability,2016-06-17,OA,2327-6096,Contact journal
Wiley,EMBO Molecular Medicine,2016-06-17,OA,1465-7295,4200
Wiley,Energy Science & Engineering,2016-06-17,OA,1465-7295,1875
Wiley,ESC Heart Failure,2016-06-17,OA,2042-3306,2500
Wiley,Evidence-based preclinical medicine,2016-06-17,OA,1740-4762,2400
Wiley,Evolutionary Applications,2016-06-17,OA,1520-6505,2356
Wiley,FEBS Open Bio,2016-06-17,OA,1742-4658,1350
Wiley,Food and Energy Security,2016-06-17,OA,2042-7166,2400
Wiley,Food Science & Nutrition,2016-06-17,OA,2048-7177,1950
Wiley,Geography and Environment,2016-06-17,OA,1931-0846,1800
Wiley,Geoscience Data Journal,2016-06-17,OA,1944-8007,1500
Wiley,Global Challenges,2016-06-17,OA,1468-0483,2500
Wiley,Global Change Biology Bioenergy,2016-06-17,OA,1757-1707,2450
Wiley,Health Expectations,2016-06-17,OA,1099-1050,2025
Wiley,"Immunity, Inflammation and Disease",2016-06-17,OA,1931-4981,2000
Wiley,Influenza and Other Respiratory Viruses,2016-06-17,OA,1097-0355,2700
Wiley,Inside the Cell,2016-06-17,OA,1744-7917,1150
Wiley,"Journal of Cachexia, Sarcopenia and Muscle",2016-06-17,OA,2190-6009,2500
Wiley,Journal of Cellular and Molecular Medicine,2016-06-17,OA,1540-8167,2500
Wiley,Journal of Diabetes Investigation,2016-06-17,OA,1556-6676,3000
Wiley,Journal of Interdisciplinary Nanomedicine,2016-06-17,OA,1365-2788,2002
Wiley,Journal of Medical Radiation Sciences,2016-06-17,OA,1600-0684,1560
Wiley,Journal of the American Heart Association,2016-06-17,OA,1551-2916,2300
Wiley,Journal of Veterinary Internal Medicine,2016-06-17,OA,1476-4431,1650
Wiley,Laryngoscope Investigative Otolaryngology,2016-06-17,OA,1467-9922,1950
Wiley,Learning Health Systems,2016-06-17,OA,1540-5826,2004
Wiley,Limnology & Oceanography Letters,2016-06-17,OA,1472-765X,2500
Wiley,Microbial Biotechnology,2016-06-17,OA,1467-999X,2876
Wiley,MicrobiologyOpen,2016-06-17,OA,1348-0421,2349
Wiley,Molecular Genetics & Genomic Medicine,2016-06-17,OA,1755-0998,2005
Wiley,Molecular Systems Biology,2016-06-17,OA,1098-2795,4200
Wiley,Nursing Open,2016-06-17,OA,1440-1800,1650
Wiley,Obesity Science & Practice ,2016-06-17,OA,1467-789X,2500
Wiley,"Pharmacology, Research and Perspectives",2016-06-17,OA,1099-1557,2500
Wiley,Physiological Reports,2016-06-17,OA,1365-3032,1500
Wiley,Regeneration,2016-06-17,OA,1936-2722,2500
Wiley,Remote Sensing in Ecology and Conservation ,2016-06-17,OA,1936-2722,1921
Wiley,Respirology Case Reports,2016-06-17,OA,1936-2722,800
Wiley,The Bulletin of the Ecological Society of America,2016-06-17,OA,2327-6096,Contact journal
Wiley,The Depositional Record ,2016-06-17,OA,1545-7249,2011
Wiley,The Journal of Pathology: Clinical Research,2016-06-17,OA,1545-7249,2012
Wiley,Thoracic Cancer,2016-06-17,OA,1744-9987,2013
Wiley,Veterinary Medicine and Science,2016-06-17,OA,1365-3164,1650
