issn	journal_name	pub_name	is_hybrid	category,,
0001-527X	ACTA BIOCHIMICA POLONICA	ACTA BIOCHIMICA POLONICA	0	MOLECULAR AND CELL BIOLOGY,,
0003-0090	BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY	AMER MUSEUM NATURAL HISTORY	0	ECOLOGY AND EVOLUTION,,
0003-5521	L'Anthropologie	Elsevier	1	ANTHROPOLOGY,,
0005-1098	Automatica	Elsevier	1	ROBOTICS,,
0008-6223	Carbon	Elsevier	1	PHYSICS AND CHEMISTRY,,
0010-0277	Cognition	Elsevier	1	PSYCHOLOGY,,
0010-7824	Contraception	Elsevier	1	MEDICINE,,
0010-9452	Cortex	Elsevier	1	NEUROSCIENCE,,
0011-2240	Cryobiology	Elsevier	1	VETERINARY,,
0011-2275	Cryogenics	Elsevier	1	PHYSICS AND CHEMISTRY,,
0011-5029	Disease-a-Month	Elsevier	1	MEDICINE,,
0011-9164	Desalination	Elsevier	1	NULL,,
0012-3692	Chest	Elsevier	1	MEDICINE,,
0015-1920	FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE	FACULTY SOCIAL SCIENCES CHARLES UNIV	0	ECONOMICS,,
0015-704X	FORDHAM LAW REVIEW	FORDHAM UNIV SCHOOL LAW	0	LAW,,
0016-2361	Fuel	Elsevier	1	NULL,,
0016-3287	Futures	Elsevier	1	NULL,,
0016-5085	Gastroenterology	Elsevier	1	GASTROENTEROLOGY,,
0016-6995	Geobios	Elsevier	1	NULL,,
0016-7061	Geoderma	Elsevier	1	PLANT BIOLOGY,,
0016-7169	Geofisica Internacional	Self Owned - Non-Profit Society	0	NULL,,
0016-7185	Geoforum	Elsevier	1	NULL,,
0016-8076	GEORGE WASHINGTON LAW REVIEW	GEORGE WASHINGTON UNIV	0	LAW,,
0016-8092	GEORGETOWN LAW JOURNAL	GEORGETOWN LAW JOURNAL ASSN	0	LAW,,
0017-0011	GINEKOLOGIA POLSKA	Self Owned - Non-Profit Society	0	MEDICINE,,
0017-808X	HARVARD JOURNAL ON LEGISLATION	HARVARD LAW SCHOOL	0	LAW,,
