"id","price","date_stamp.x","journal_id","influence_id","article_influence","est_article_influence","date_stamp.y","ai_percentile","cost_effectiveness","ef_percentile","eigenfactor","efn","journal_name","pub_name","is_hybrid","category"
8691,1400,"2016-08-11","2051-5960",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acta Neuropathologica Communications","BioMed Central",0,NA
8692,2175,"2016-08-11","1758-9193",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alzheimers Research & Therapy","BioMed Central Ltd",0,"NEUROSCIENCE"
8693,2145,"2016-08-11","1476-0711",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annals of Clinical Microbiology and Antimicrobials","BioMed Central Ltd",0,"INFECTIOUS DISEASES"
8694,2145,"2016-08-11","2047-2994",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antimicrobial Resistance & Infection Control","BioMed Central",0,NA
8695,2145,"2016-08-11","1744-9081",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Behavioral and Brain Functions","Biomed Central",0,"NEUROSCIENCE"
8696,2450,"2016-08-11","1480-9222",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BIOLOGICAL PROCEDURES ONLINE","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8697,2450,"2016-08-11","2042-6410",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biology of Sex Differences","BioMed Central Ltd",0,NA
8698,2255,"2016-08-11","2050-7771",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biomarker Research","BioMed Central",0,NA
8699,2145,"2016-08-11","1471-2407",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC CANCER","Biomed Central",0,"ONCOLOGY"
8700,2145,"2016-08-11","1471-2172",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC IMMUNOLOGY","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8701,2145,"2016-08-11","1471-2350",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Medical Genetics","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8702,2145,"2016-08-11","1755-8794",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Medical Genomics","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY"
8703,2145,"2016-08-11","1471-2202",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC NEUROSCIENCE","Biomed Central",0,"NEUROSCIENCE"
8704,2145,"2016-08-11","2050-6511",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Pharmacology and Toxicology","BioMed Central",0,NA
8705,2145,"2016-08-11","1472-6793",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Physiology","BioMed Central Ltd",0,NA
8706,1290,"2016-08-11","1756-0500",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BMC Research Notes","BMC-Springer",0,NA
8707,2910,"2016-08-11","1465-542X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Breast Cancer Research","BioMed Central",0,NA
8708,2450,"2016-08-11","2049-3002",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cancer & Metabolism","BioMed Central",0,NA
8709,2300,"2016-08-11","1475-2867",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cancer Cell International","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY"
8710,0,"2016-08-11","1944-446X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chinese Journal of Cancer","BioMed Central",0,NA
