issn	journal_name	pub_name	is_hybrid	category
0001-2092	AORN Journal	Elsevier	1	NULL
0001-2998	Seminars in Nuclear Medicine	Elsevier	1	RADIOLOGY
0001-4575	Accident Analysis and Prevention	Elsevier	1	TRANSPORTATION
0001-527X	Acta Biochimica Polonica	Acta Biochimica Polonica	0	MOLECULAR AND CELL BIOLOGY
0001-5814	Acta Haematologica Polonica	Elsevier	1	NULL
0001-6519	Acta Otorrinolaringologica Espanola	Elsevier	1	NULL
0001-6918	Acta Psychologica	Elsevier	1	PSYCHOLOGY
0001-706X	Acta Tropica	Elsevier	1	INFECTIOUS DISEASES
0001-7310	Actas dermosifiliograficas	Elsevier	1	NULL
0001-8686	Advances in Colloid and Interface Science	Elsevier	1	PHYSICS AND CHEMISTRY
0001-8708	Advances in Mathematics	Elsevier	1	MATHEMATICS
0001-8791	Journal of Vocational Behavior	Elsevier	1	MARKETING
0002-8177	The Journal of the American Dental Association	Elsevier	1	DENTISTRY
0002-8703	American Heart Journal	Elsevier	1	MEDICINE
0002-9149	The American Journal of Cardiology	Elsevier	1	MEDICINE
0002-9297	The American Journal of Human Genetics	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0002-9343	The American Journal of Medicine	Elsevier	1	MEDICINE
0002-9378	American Journal of Obstetrics and Gynecology	Elsevier	1	MEDICINE
0002-9394	American Journal of Ophthalmology	Elsevier	1	OPHTHALMOLOGY
0002-9440	The American Journal of Pathology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0002-9610	The American Journal of Surgery	Elsevier	1	GASTROENTEROLOGY
0002-9629	The American Journal of the Medical Sciences	Elsevier	1	MEDICINE
0003-0090	Bulletin of the American Museum of Natural History	Amer Museum Natural History	0	ECOLOGY AND EVOLUTION
0003-2670	Analytica Chimica Acta	Elsevier	1	NULL
0003-2697	Analytical Biochemistry	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0003-2778	Journal of the Anatomical Society of India	Elsevier	1	NULL
0003-3170	Angiolog A	Elsevier	1	NULL
0003-3472	Animal Behaviour	Elsevier	1	ECOLOGY AND EVOLUTION
0003-3928	Annales de cardiologie et d'ang iologie	Elsevier	1	NULL
0003-4266	Annales d'Endocrinologie	Elsevier	1	MEDICINE
0003-4487	Annales m dico-Psychologiques	Elsevier	1	PSYCHIATRY
0003-4509	Annales Pharmaceutiques Fran aises	Elsevier	1	NULL
0003-4916	Annals of Physics	Elsevier	1	PHYSICS AND CHEMISTRY
0003-4975	The Annals of Thoracic Surgery	Elsevier	1	MEDICINE
0003-5521	l'Anthropologie	Elsevier	1	ANTHROPOLOGY
0003-682X	Applied Acoustics	Elsevier	1	NULL
0003-6870	Applied Ergonomics	Elsevier	1	ENVIRONMENTAL HEALTH
0003-9861	Archives of Biochemistry and Biophysics	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0003-9969	Archives of Oral Biology	Elsevier	1	DENTISTRY
0003-9993	Archives of Physical Medicine and Rehabilitation	Elsevier	1	SPORTS MEDICINE
0004-3702	Artificial Intelligence	Elsevier	1	NULL
0005-1098	Automatica	Elsevier	1	ROBOTICS
0005-2728	BBA - Bioenergetics	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0005-2736	BBA - Biomembranes	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0005-7894	Behavior Therapy	Elsevier	1	PSYCHIATRY
0005-7916	Journal of Behavior Therapy and Experimental Psychiatry	Elsevier	1	PSYCHIATRY
0005-7967	Behaviour Research and Therapy	Elsevier	1	PSYCHIATRY
0006-291X	Biochemical and Biophysical Research Communications	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0006-2952	Biochemical Pharmacology	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0006-3207	Biological Conservation	Elsevier	1	ECOLOGY AND EVOLUTION
0006-3223	Biological Psychiatry	Elsevier	1	NEUROSCIENCE
0006-3495	Biophysical Journal	Elsevier	1	MOLECULAR AND CELL BIOLOGY
0006-8993	Brain Research	Elsevier	1	NEUROSCIENCE
0007-4497	Bulletin des sciences math matiques	Elsevier	1	MATHEMATICS
0007-6813	Business Horizons	Elsevier	1	MARKETING
0007-8506	CIRP Annals - Manufacturing Technology	Elsevier	1	OPERATIONS RESEARCH
0007-9820	Cahiers de la pu ricultrice	Elsevier	1	NULL
0007-9960	Cahiers de Nutrition et de Di t tique	Elsevier	1	NULL
0008-4182	Canadian Journal of Ophthalmology/Journal canadien d'ophtalmologie	Elsevier	1	OPHTHALMOLOGY
0008-6215	Carbohydrate Research	Elsevier	1	PHYSICS AND CHEMISTRY
0008-6223	Carbon	Elsevier	1	PHYSICS AND CHEMISTRY
