ID_1	ISSN	ShortName	LongName	Year	SciSS	ISI_Category	ISI	ImpactFactor	IF_percentile	Citation_2yr	Article_2yr	Citation_ALL	Eigenfactor	EF_percentile	ArticleInfluence	AI_percentile	Citation_5yr	SelfCitation_5yr	Article_5yr	Notes	ID_2	RowUpdate	CatName	CatID	Price	Country	First_Pub	Publisher	normPrice	CE	EFn
NULL	1619-4500	4OR-Q J OPER RES	4OR-A Quarterly Journal of Operations Research	2014	Sci	PE	ISI	NULL	NULL	NULL	NULL	NULL	0.000971544	0.301429	0.478006	0.479732	89	NULL	128	NULL	0	2016-02-10 17:40:35	OPERATIONS RESEARCH	32	385.00		0		NULL	NULL	0.108813
NULL	0149-1423	AAPG BULL	AAPG BULLETIN	2014	Sci	ID IP A5	ISI	NULL	NULL	NULL	NULL	NULL	0.0075126	0.778304	1.2257	0.855625	1020	NULL	386	NULL	0	2016-02-10 17:40:35	NULL	0	0.00	United-States	1917	American-Association-of-Petroleum-Geologists	NULL	NULL	0.841411
NULL	1550-7416	AAPS J	AAPS Journal	2014	Sci	TU	ISI	NULL	NULL	NULL	NULL	NULL	0.00798846	0.789464	1.20645	0.851161	1909	NULL	417	NULL	0	2016-02-10 17:40:35	PHARMACOLOGY	71	478.00		0		NULL	NULL	0.894708
NULL	1530-9932	AAPS PHARMSCITECH	AAPS PHARMSCITECH	2014	Sci	TU	ISI	NULL	NULL	NULL	NULL	NULL	0.00648874	0.752679	0.485898	0.486161	1828	NULL	841	NULL	0	2016-02-10 17:40:35	PHARMACOLOGY	71	478.00		0		NULL	NULL	0.726739
NULL	1532-8813	AATCC REV	AATCC REVIEW	2014	Sci	DW II QJ	ISI	NULL	NULL	NULL	NULL	NULL	0.000150836	0.0464286	0.0552279	0.0420536	42	NULL	172	NULL	0	2016-02-10 17:40:35	FOOD SCIENCE	37	200.00	UNITED STATES	0		NULL	NULL	0.0168936
NULL	0001-3072	ABACUS	Abacus-A Journal of Accounting Finance and Business Studies	2014	SS	DK	ISI	NULL	NULL	NULL	NULL	NULL	0.000519142	0.169821	0.289327	0.295	65	NULL	113	NULL	0	2016-02-10 17:40:35	ACCOUNTING	140	643.00	Australia	1964	Blackwell-Publishing-Asia	NULL	NULL	0.0581439
NULL	0942-8925	ABDOM IMAGING	ABDOMINAL IMAGING	2014	Sci	KI VY	ISI	NULL	NULL	NULL	NULL	NULL	0.00453078	0.678929	0.481983	0.483393	917	NULL	592	NULL	0	2016-02-10 17:40:35	RADIOLOGY	92	972.00	United-States	1976	Springer-New-York-LLC	NULL	NULL	0.507447
NULL	0025-5858	ABH MATH SEM HAMBURG	ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG	2014	Sci	PQ	ISI	NULL	NULL	NULL	NULL	NULL	0.000785011	0.251071	0.650494	0.614018	37	NULL	76	NULL	0	2016-02-10 17:40:35	MATHEMATICS	8	289.00		0		NULL	NULL	0.0879212
NULL	1069-6563	ACAD EMERG MED	ACADEMIC EMERGENCY MEDICINE	2014	Sci	B5	ISI	NULL	NULL	NULL	NULL	NULL	0.0134566	0.867679	0.858615	0.737946	1999	NULL	987	NULL	0	2016-02-10 17:40:35	MEDICINE	2	272.00	United-States	1994	Hanley-&-Belfus,-Inc	NULL	NULL	1.50714
NULL	1941-6067	ACAD MANAG ANN	Academy of Management Annals	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00726264	0.773393	6.82655	0.990714	678	NULL	67	NULL	0	2016-02-10 17:40:35	MARKETING	122	0.00		0		NULL	NULL	0.813416
NULL	1537-260X	ACAD MANAG LEARN EDU	Academy of Management Learning & Education	2014	SS	HA PC	ISI	NULL	NULL	NULL	NULL	NULL	0.00279226	0.56625	1.20444	0.850714	358	NULL	146	NULL	0	2016-02-10 17:40:35	MARKETING	122	170.00	United-States	2002	Academy-of-Management	NULL	NULL	0.312733
NULL	0001-4273	ACAD MANAGE J	ACADEMY OF MANAGEMENT JOURNAL	2014	SS	DI PC	ISI	NULL	NULL	NULL	NULL	NULL	0.0280906	0.942054	5.74369	0.987143	2759	NULL	308	NULL	0	2016-02-10 17:40:35	MARKETING	122	155.00	United-States	1958	Academy-of-Management	NULL	NULL	3.14615
NULL	1558-9080	ACAD MANAGE PERSPECT	Academy of Management Perspectives	2014	SS	PC	ISI	NULL	NULL	NULL	NULL	NULL	0.00463068	0.683482	2.49253	0.957857	569	NULL	117	NULL	0	2016-02-10 17:40:35	MARKETING	122	120.00		0		NULL	NULL	0.518636
NULL	0363-7425	ACAD MANAGE REV	ACADEMY OF MANAGEMENT REVIEW	2014	SS	DI PC	ISI	NULL	NULL	NULL	NULL	NULL	0.0157064	0.887143	6.68337	0.990357	1481	NULL	148	NULL	0	2016-02-10 17:40:35	MARKETING	122	155.00	United-States	1976	Academy-of-Management	NULL	NULL	1.75911
NULL	1040-2446	ACAD MED	ACADEMIC MEDICINE	2014	Sci	HB HL	ISI	NULL	NULL	NULL	NULL	NULL	0.0234295	0.926964	1.38807	0.884018	3066	NULL	1063	NULL	0	2016-02-10 17:40:35	MEDICINE	2	338.00	United-States	1926	Lippincott-Williams-&-Wilkins	NULL	NULL	2.6241
NULL	1876-2859	ACAD PEDIATR	Academic Pediatrics	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00535433	0.715089	1.04396	0.806786	757	NULL	323	NULL	0	2016-02-10 17:40:35	MEDICINE	2	0.00		0		NULL	NULL	0.599685
NULL	1042-9670	ACAD PSYCHIATR	ACADEMIC PSYCHIATRY	2014	SS	HA VE	ISI	NULL	NULL	NULL	NULL	NULL	0.00132725	0.378036	0.254061	0.255	222	NULL	329	NULL	0	2016-02-10 17:40:35	MEDICINE	2	210.00	United-States	1977	American-Psychiatric-Publishing,-Inc	NULL	NULL	0.148652
NULL	1076-6332	ACAD RADIOL	ACADEMIC RADIOLOGY	2014	Sci	VY	ISI	NULL	NULL	NULL	NULL	NULL	0.0102534	0.829911	0.666386	0.624821	1642	NULL	969	NULL	0	2016-02-10 17:40:35	RADIOLOGY	92	414.00	Netherlands	1994	Elsevier-B	NULL	NULL	1.14838
NULL	1012-8255	ACAD-REV LATINOAM AD	Academia-Revista Latinoamericana de Administracion	2014	SS	DI PC	ISI	NULL	NULL	NULL	NULL	NULL	0.000120451	0.0359821	0.0824525	0.0683036	23	NULL	92	NULL	0	2016-02-10 17:40:35	MARKETING	122	0.00		0		NULL	NULL	0.0134905
NULL	0044-586X	ACAROLOGIA	ACAROLOGIA	2014	NULL	IY	ISI	NULL	NULL	NULL	NULL	NULL	0.000606499	0.199286	0.616055	0.59	101	NULL	62	NULL	0	2016-02-10 17:40:35	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0679279
NULL	0001-4575	ACCIDENT ANAL PREV	ACCIDENT ANALYSIS AND PREVENTION	2014	SS	JI NE WU YQ	ISI	NULL	NULL	NULL	NULL	NULL	0.0191891	0.91	0.813236	0.713393	2750	NULL	1486	NULL	0	2016-02-10 17:40:35	TRANSPORTATION	74	2104.00	United-Kingdom	1969	Pergamon	NULL	NULL	2.14918
NULL	0951-3574	ACCOUNT AUDIT ACCOUN	Accounting Auditing & Accountability Journal	2014	NULL	DK	ISI	NULL	NULL	NULL	NULL	NULL	0.00170893	0.442321	0.66434	0.623036	207	NULL	162	NULL	0	2016-02-10 17:40:35	ACCOUNTING	140	NULL	NULL	NULL	NULL	NULL	NULL	0.1914
NULL	0001-4788	ACCOUNT BUS RES	ACCOUNTING AND BUSINESS RESEARCH	2014	SS	DK	ISI	NULL	NULL	NULL	NULL	NULL	0.000694711	0.224554	0.387175	0.396518	98	NULL	113	NULL	0	2016-02-10 17:40:35	ACCOUNTING	140	0.00		0		NULL	NULL	0.0778076
NULL	0810-5391	ACCOUNT FINANC	Accounting and Finance	2014	SS	DK	ISI	NULL	NULL	NULL	NULL	NULL	0.000880846	0.276786	0.237064	0.236786	159	NULL	234	NULL	0	2016-02-10 17:40:35	ACCOUNTING	140	597.00		0		NULL	NULL	0.0986548
NULL	0888-7993	ACCOUNT HORIZ	Accounting Horizons	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00145891	0.400804	0.629299	0.599464	159	NULL	146	NULL	0	2016-02-10 17:40:35	ACCOUNTING	140	0.00		0		NULL	NULL	0.163398
